benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.02125;0.09;618.43
bench1_base_variant;512;1024;4096;0;0;0;0;18.4895;0.13;67.6061
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;18.4637;0.13;67.7005
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;3.01891;0.13;414.056
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.08162;0.13;405.631
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.30024;0.13;378.76
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.24931;0.13;384.697
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.10622;0.13;402.418
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.51277;0.13;497.459
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.27077;0.13;550.475
bench1_base_variant;1024;1024;4096;0;0;0;0;19.046;0.13;65.6304
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;18.9983;0.13;65.7955
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.91403;0.13;428.959
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.0528;0.13;409.46
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.16061;0.13;395.494
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.13597;0.13;398.601
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.01778;0.13;414.212
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.40266;0.13;520.258
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.29987;0.13;543.509
bench1_base_variant;2048;1024;4096;0;0;0;0;20.613;0.13;60.6413
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;20.6203;0.13;60.62
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.93691;0.13;425.617
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.05106;0.13;409.694
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;3.15818;0.13;395.798
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;3.13482;0.13;398.747
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.03058;0.13;412.463
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.41168;0.13;518.311
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.29614;0.13;544.391
bench1_base_variant;4096;1024;4096;0;0;0;0;21.9806;0.13;56.8684
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;22.0067;0.13;56.801
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;5.32589;0.13;234.703
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.05075;0.13;409.735
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;3.15507;0.13;396.187
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;3.1349;0.13;398.737
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.04491;0.13;410.521
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.39989;0.13;520.858
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.29611;0.13;544.399
bench1_base_variant;512;1024;4096;0;0;0;0;24.5447;0.17;50.9276
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;24.5219;0.17;50.9748
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;3.1632;0.17;395.169
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.16051;0.17;395.506
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.38275;0.17;369.522
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.31984;0.17;376.524
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.17317;0.17;393.928
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.59189;0.17;482.274
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.42758;0.17;514.915
bench1_base_variant;1024;1024;4096;0;0;0;0;24.2724;0.17;51.4989
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;24.2896;0.17;51.4624
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.06314;0.17;408.078
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.09035;0.17;404.485
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.19982;0.17;390.646
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.17176;0.17;394.103
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.05683;0.17;408.92
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.45813;0.17;508.517
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.45077;0.17;510.044
bench1_base_variant;2048;1024;4096;0;0;0;0;25.9765;0.17;48.1205
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;26.0637;0.17;47.9595
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.06395;0.17;407.97
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.09022;0.17;404.501
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;3.19349;0.17;391.422
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;3.16384;0.17;395.09
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.0652;0.17;407.804
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.45762;0.17;508.623
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.44448;0.17;511.356
bench1_base_variant;4096;1024;4096;0;0;0;0;27.0078;0.17;46.2829
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;27.018;0.17;46.2655
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.03608;0.17;411.715
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.09379;0.17;404.035
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;3.19328;0.17;391.447
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;3.17226;0.17;394.041
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.07539;0.17;406.452
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.45536;0.17;509.09
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.44922;0.17;510.367
bench1_base_variant;512;1024;4096;0;0;0;0;30.4885;0.21;40.9991
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;29.8665;0.21;41.8529
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;3.22888;0.21;387.131
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.18461;0.21;392.513
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.41954;0.21;365.547
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.35086;0.21;373.038
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.21974;0.21;388.23
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.65085;0.21;471.547
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.55283;0.21;489.652
bench1_base_variant;1024;1024;4096;0;0;0;0;29.8475;0.21;41.8796
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;29.8605;0.21;41.8613
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.14922;0.21;396.924
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.1431;0.21;397.696
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.24877;0.21;384.761
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.21688;0.21;388.575
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.11402;0.21;401.411
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.5173;0.21;496.565
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.57245;0.21;485.918
bench1_base_variant;2048;1024;4096;0;0;0;0;31.4697;0.21;39.7208
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;31.3636;0.21;39.8551
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.1377;0.21;398.382
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.14278;0.21;397.737
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;3.24459;0.21;385.256
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;3.21566;0.21;388.722
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.1191;0.21;400.756
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.51874;0.21;496.281
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.56834;0.21;486.696
bench1_base_variant;4096;1024;4096;0;0;0;0;32.1344;0.21;38.8992
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;32.2088;0.21;38.8093
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.14062;0.21;398.01
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.15115;0.21;396.68
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;3.24656;0.21;385.023
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;3.22389;0.21;387.731
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.1283;0.21;399.578
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.5197;0.21;496.092
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.56848;0.21;486.669
bench1_base_variant;512;1024;4096;0;0;0;0;36.0183;0.25;34.7046
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;35.9304;0.25;34.7895
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;3.3161;0.25;376.949
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.14496;0.25;397.461
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.36701;0.25;371.25
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.30067;0.25;378.711
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.1752;0.25;393.676
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.58258;0.25;484.013
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.6281;0.25;475.629
bench1_base_variant;1024;1024;4096;0;0;0;0;35.7159;0.25;34.9984
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;35.6895;0.25;35.0243
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.27469;0.25;381.716
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.19595;0.25;391.12
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.30888;0.25;377.771
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.28011;0.25;381.085
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.16618;0.25;394.798
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.58214;0.25;484.094
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.67757;0.25;466.842
bench1_base_variant;2048;1024;4096;0;0;0;0;37.4352;0.25;33.391
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;37.7254;0.25;33.1342
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.28094;0.25;380.988
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.19906;0.25;390.74
