benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;2048;1024;4096;0;0;0;0;16.7157;0.17;74.7799
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;8.56214;0.17;145.991
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.58152;0.17;790.379
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.34709;0.17;927.927
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.08376;0.17;1153.39
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.05214;0.17;1188.05
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.950288;0.17;1315.39
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.39971;0.17;520.896
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.955856;0.17;1307.73
bench1_base_variant;4096;1024;4096;0;0;0;0;7.32458;0.17;170.658
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.38645;0.17;284.969
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.57344;0.17;794.438
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.35035;0.17;925.685
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;1.06779;0.17;1170.64
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;1.04432;0.17;1196.95
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.956208;0.17;1307.25
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.39874;0.17;521.108
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.961392;0.17;1300.2
bench1_base_variant;512;1024;4096;0;0;0;0;37.3277;0.21;33.4872
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;36.1571;0.21;34.5714
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.82594;0.21;684.58
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.49394;0.21;836.716
