benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.59402;0.17;481.878
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.4077;0.17;519.169
bench1_base_variant;1024;1024;4096;0;0;0;0;24.3081;0.17;51.4231
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;24.2954;0.17;51.4501
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.0691;0.17;407.285
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.09448;0.17;403.945
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.20848;0.17;389.593
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.1777;0.17;393.367
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.0564;0.17;408.978
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.46312;0.17;507.486
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.45154;0.17;509.884
bench1_base_variant;2048;1024;4096;0;0;0;0;26.0668;0.17;47.9537
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;25.9873;0.17;48.1004
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.04336;0.17;410.73
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.09827;0.17;403.451
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;3.20461;0.17;390.063
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;3.16763;0.17;394.617
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.06912;0.17;407.283
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.4643;0.17;507.243
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.44354;0.17;511.554
bench1_base_variant;4096;1024;4096;0;0;0;0;27.0376;0.17;46.232
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;27.0652;0.17;46.1849
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.02957;0.17;412.6
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.09213;0.17;404.252
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;3.20019;0.17;390.602
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;3.17464;0.17;393.745
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.07616;0.17;406.351
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.46805;0.17;506.473
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.44613;0.17;511.012
bench1_base_variant;512;1024;4096;0;0;0;0;30.0145;0.21;41.6465
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;29.9162;0.21;41.7834
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;3.28832;0.21;380.133
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.17971;0.21;393.117
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.42514;0.21;364.949
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.35347;0.21;372.748
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.22718;0.21;387.335
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.64992;0.21;471.712
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.55317;0.21;489.588
bench1_base_variant;1024;1024;4096;0;0;0;0;29.8556;0.21;41.8682
