benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.71808;0.09;1740.75
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.683936;0.09;1827.66
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.580416;0.09;2153.63
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.24354;0.09;557.156
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.589712;0.09;2119.68
bench1_base_variant;4096;1024;4096;0;0;0;0;6.45446;0.09;193.664
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.20992;0.09;296.918
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.23002;0.09;1016.25
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.00334;0.09;1245.83
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.700464;0.09;1784.53
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.677056;0.09;1846.23
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.58416;0.09;2139.82
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.23714;0.09;558.75
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.589072;0.09;2121.98
bench1_base_variant;512;1024;4096;0;0;0;0;23.2248;0.13;53.8217
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;22.6146;0.13;55.274
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.51738;0.13;823.791
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.23592;0.13;1011.39
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.952256;0.13;1312.67
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.915104;0.13;1365.96
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.772256;0.13;1618.63
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.49226;0.13;501.554
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.7684;0.13;1626.76
bench1_base_variant;1024;1024;4096;0;0;0;0;20.7625;0.13;60.2046
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;16.0656;0.13;77.8062
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.40651;0.13;888.723
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.18037;0.13;1058.99
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.929136;0.13;1345.34
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.894016;0.13;1398.19
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.784496;0.13;1593.38
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.31498;0.13;539.962
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.787168;0.13;1587.97
bench1_base_variant;2048;1024;4096;0;0;0;0;10.3209;0.13;121.114
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;3.35797;0.13;372.249
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.40515;0.13;889.583
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.18267;0.13;1056.93
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.907552;0.13;1377.33
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.876352;0.13;1426.37
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.7732;0.13;1616.66
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.31662;0.13;539.578
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.777472;0.13;1607.77
bench1_base_variant;4096;1024;4096;0;0;0;0;6.59045;0.13;189.668
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.2761;0.13;292.323
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.41506;0.13;883.357
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.17758;0.13;1061.5
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.89368;0.13;1398.71
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.865568;0.13;1444.14
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.77128;0.13;1620.68
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.31675;0.13;539.548
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.777504;0.13;1607.71
bench1_base_variant;512;1024;4096;0;0;0;0;29.9408;0.17;41.749
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;28.212;0.17;44.3074
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.67021;0.17;748.41
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.37811;0.17;907.038
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.12893;0.17;1107.25
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.08558;0.17;1151.45
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.95064;0.17;1314.9
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.53238;0.17;493.606
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.955184;0.17;1308.65
bench1_base_variant;1024;1024;4096;0;0;0;0;26.6274;0.17;46.9441
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;23.2466;0.17;53.7714
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.57837;0.17;791.957
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.34011;0.17;932.758
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.10808;0.17;1128.08
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.07762;0.17;1159.97
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.96224;0.17;1299.05
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.39486;0.17;521.95
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.967264;0.17;1292.3
bench1_base_variant;2048;1024;4096;0;0;0;0;16.8873;0.17;74.0201
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;8.57949;0.17;145.696
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.57755;0.17;792.367
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.34331;0.17;930.536
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.08363;0.17;1153.53
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.05;0.17;1190.48
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.955888;0.17;1307.68
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.39571;0.17;521.766
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.956752;0.17;1306.5
bench1_base_variant;4096;1024;4096;0;0;0;0;7.21598;0.17;173.227
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.34698;0.17;287.556
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.57317;0.17;794.575
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.34106;0.17;932.101
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;1.0667;0.17;1171.83
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;1.04302;0.17;1198.44
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.95392;0.17;1310.38
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.38973;0.17;523.072
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.96576;0.17;1294.32
bench1_base_variant;512;1024;4096;0;0;0;0;37.1581;0.21;33.64
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;36.525;0.21;34.2231
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.85784;0.21;672.824
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.54678;0.21;808.128
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.31296;0.21;952.047
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.23789;0.21;1009.78
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.11195;0.21;1124.15
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.46811;0.21;506.46
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.11299;0.21;1123.1
bench1_base_variant;1024;1024;4096;0;0;0;0;34.2836;0.21;36.4606
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;30.5556;0.21;40.909
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.76011;0.21;710.182
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.50579;0.21;830.128
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.29146;0.21;967.9
