benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.9697;0.09;420.918
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;3.0749;0.09;406.518
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;3.05464;0.09;409.214
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.96579;0.09;421.473
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.33517;0.09;535.293
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.02389;0.09;617.623
bench1_base_variant;512;1024;4096;0;0;0;0;18.7019;0.13;66.8383
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;18.6784;0.13;66.922
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;3.08515;0.13;405.166
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.17704;0.13;393.448
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.33643;0.13;374.652
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.28155;0.13;380.917
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.13179;0.13;399.132
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.54883;0.13;490.421
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.272;0.13;550.176
bench1_base_variant;1024;1024;4096;0;0;0;0;18.9924;0.13;65.8158
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;18.9899;0.13;65.8244
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.91218;0.13;429.232
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.05683;0.13;408.92
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.17394;0.13;393.833
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.14254;0.13;397.767
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.0332;0.13;412.106
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.41272;0.13;518.087
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.2985;0.13;543.834
bench1_base_variant;2048;1024;4096;0;0;0;0;20.5976;0.13;60.6867
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;20.6463;0.13;60.5437
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.90472;0.13;430.334
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.05208;0.13;409.557
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;3.16576;0.13;394.85
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;3.14173;0.13;397.87
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.03518;0.13;411.837
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.40677;0.13;519.369
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.2945;0.13;544.782
bench1_base_variant;4096;1024;4096;0;0;0;0;22.0763;0.13;56.6219
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;21.9679;0.13;56.9013
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.92125;0.13;427.899
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.06272;0.13;408.134
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;3.16782;0.13;394.593
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;3.14162;0.13;397.884
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.04766;0.13;410.15
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.41757;0.13;517.049
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.29651;0.13;544.304
bench1_base_variant;512;1024;4096;0;0;0;0;23.9283;0.17;52.2393
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;23.9155;0.17;52.2674
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;3.18072;0.17;392.993
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.14426;0.17;397.55
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.37443;0.17;370.433
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.30894;0.17;377.764
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.17427;0.17;393.791
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.48141;0.17;503.746
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.40589;0.17;519.559
bench1_base_variant;1024;1024;4096;0;0;0;0;24.268;0.17;51.5081
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;24.3033;0.17;51.4334
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.05403;0.17;409.295
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.09685;0.17;403.636
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.2095;0.17;389.468
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.16949;0.17;394.385
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.06216;0.17;408.209
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.47386;0.17;505.284
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.45146;0.17;509.901
bench1_base_variant;2048;1024;4096;0;0;0;0;26.017;0.17;48.0456
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;26.1409;0.17;47.8178
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.07048;0.17;407.103
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.0916;0.17;404.321
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;3.20413;0.17;390.122
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;3.16938;0.17;394.399
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.0687;0.17;407.338
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.46789;0.17;506.506
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.4457;0.17;511.102
bench1_base_variant;4096;1024;4096;0;0;0;0;26.9736;0.17;46.3416
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;27.0781;0.17;46.1627
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.07062;0.17;407.083
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.09451;0.17;403.941
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;3.19546;0.17;391.18
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;3.17555;0.17;393.632
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.07851;0.17;406.04
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.46963;0.17;506.148
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.44853;0.17;510.511
bench1_base_variant;512;1024;4096;0;0;0;0;29.9078;0.21;41.7951
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;29.9025;0.21;41.8026
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;4.64464;0.21;269.127
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.18326;0.21;392.679
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.42312;0.21;365.164
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.33834;0.21;374.438
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.12587;0.21;399.888
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.53446;0.21;493.201
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.52576;0.21;494.901
bench1_base_variant;1024;1024;4096;0;0;0;0;29.872;0.21;41.8453
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;29.8707;0.21;41.847
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.15928;0.21;395.66
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.15234;0.21;396.531
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.25942;0.21;383.503
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.22749;0.21;387.298
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;3.11464;0.21;401.331
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.5295;0.21;494.168
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.5756;0.21;485.324
bench1_base_variant;2048;1024;4096;0;0;0;0;31.4255;0.21;39.7766
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;31.5137;0.21;39.6653
