benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;1024;1024;4096;0;0;0;0;12.1502;0.21;92.5909
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;9.02746;0.21;124.62
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.21792;0.21;923.706
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.1211;0.21;1003.48
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.07634;0.21;1045.21
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.04797;0.21;1073.51
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.946976;0.21;1187.99
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.36237;0.21;476.217
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.948928;0.21;1185.55
bench1_base_variant;2048;1024;4096;0;0;0;0;3.76838;0.21;298.536
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.56714;0.21;438.232
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.21317;0.21;927.324
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.11867;0.21;1005.66
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.06026;0.21;1061.06
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.03787;0.21;1083.95
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.943696;0.21;1192.12
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.36075;0.21;476.543
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.943616;0.21;1192.22
bench1_base_variant;4096;1024;4096;0;0;0;0;4.48088;0.21;251.067
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.36573;0.21;257.689
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.20992;0.21;929.814
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.11517;0.21;1008.82
